# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "Homo_sapiens.GRCh38.96.chromosome.22.gff3" "-g" "exon_id" "-o" "counts.txt" "s1-unshuffled-pe-trim.sorted.bam" "s2-unshuffled-pe-trim.sorted.bam" "s3-unshuffled-pe-trim.sorted.bam" "s4-unshuffled-pe-trim.sorted.bam" "s5-unshuffled-pe-trim.sorted.bam" "s1-shuffled-pe-trim.sorted.bam" "s1-unshuffled-pe-trim.sorted.bam" "s2-shuffled-pe-trim.sorted.bam" "s2-unshuffled-pe-trim.sorted.bam" "s3-shuffled-pe-trim.sorted.bam" "s3-unshuffled-pe-trim.sorted.bam" "s4-shuffled-pe-trim.sorted.bam" "s4-unshuffled-pe-trim.sorted.bam" "s5-shuffled-pe-trim.sorted.bam" "s5-unshuffled-pe-trim.sorted.bam" 
Geneid	s1-unshuffled-pe-trim.sorted.bam	s2-unshuffled-pe-trim.sorted.bam	s3-unshuffled-pe-trim.sorted.bam	s4-unshuffled-pe-trim.sorted.bam	s5-unshuffled-pe-trim.sorted.bam	s1-shuffled-pe-trim.sorted.bam
ENSE00001563441	23	7	77	83	74	5
ENSE00001639792	0	0	0	0	0	0
ENSE00001730911	0	0	0	0	0	0
ENSE00001782881	0	0	0	0	0	0
ENSE00001761918	0	0	0	0	0	0
ENSE00001595108	1	0	2	0	0	0
ENSE00001700882	1	0	0	0	0	0
ENSE00003688196	0	0	0	2	0	0
ENSE00002124510	0	0	0	0	0	0
ENSE00002133944	0	0	0	0	0	0
ENSE00002130948	0	0	0	0	0	0
ENSE00002140028	0	0	0	0	0	0
ENSE00002112625	0	0	0	0	0	0
ENSE00002104092	0	0	0	0	0	0
ENSE00002135872	0	0	0	0	0	0
ENSE00003559999	0	0	0	0	0	0
ENSE00003818302	0	0	0	0	0	0
ENSE00003822265	0	0	0	0	0	0
ENSE00003822054	0	0	0	0	0	0
ENSE00001543665	0	0	2	2	0	0
ENSE00003541852	0	0	0	0	0	0
ENSE00003567406	0	0	0	0	0	0
ENSE00003465094	0	0	0	0	0	0
ENSE00001543672	0	0	0	0	0	0
ENSE00003654045	0	0	0	0	0	0
ENSE00001543676	0	0	0	0	0	0
ENSE00001543677	0	0	0	0	0	0
ENSE00003670539	0	0	0	0	0	0
ENSE00001543684	0	0	0	0	0	0
ENSE00003848117	0	0	0	0	0	0
ENSE00003513343	0	0	0	0	0	0
ENSE00003678162	0	0	0	0	0	0
ENSE00003518217	0	0	0	0	0	0
ENSE00003843382	0	0	0	0	0	0
ENSE00003532535	0	0	0	0	0	0
ENSE00003576917	0	0	0	0	0	0
ENSE00001907180	0	0	0	0	0	0
ENSE00001941007	0	0	0	0	0	0
ENSE00001943865	0	0	0	0	0	0
ENSE00003815573	0	0	0	0	0	0
ENSE00003829050	2	0	1	0	4	0
ENSE00003819060	0	0	0	0	0	0
ENSE00002113393	0	0	0	0	0	0
ENSE00003535787	0	0	0	0	0	0
ENSE00002126213	0	0	0	0	0	0
ENSE00003494482	0	0	0	0	0	0
ENSE00003543343	0	0	0	0	0	0
ENSE00003560300	0	0	0	0	0	0
ENSE00003745795	0	0	0	2	0	0
ENSE00003720429	0	0	0	0	0	0
ENSE00001773822	0	0	0	0	6	0
ENSE00001699373	0	0	0	0	0	0
ENSE00001726793	0	0	0	0	0	0
ENSE00001609504	0	0	0	0	0	0
ENSE00001775054	0	0	0	0	0	0
ENSE00001806354	0	0	0	0	0	0
ENSE00003710418	0	0	0	0	0	0
ENSE00003709737	0	0	0	0	0	0
ENSE00003705150	0	0	0	0	0	0
ENSE00003703516	0	0	0	0	0	0
ENSE00003704484	7	0	11	11	17	2
ENSE00003794480	0	0	0	0	0	0
ENSE00003703920	0	0	9	7	8	0
ENSE00003708397	0	0	0	0	0	0
ENSE00001921243	0	0	0	0	0	0
ENSE00003469023	0	0	0	0	0	0
ENSE00003662499	0	0	0	0	0	0
ENSE00001863400	0	0	0	0	0	0
ENSE00001240049	0	0	0	0	0	0
ENSE00001239675	0	0	0	0	0	0
ENSE00003629316	0	0	0	0	0	0
ENSE00003520443	0	0	0	0	0	0
ENSE00001239660	0	0	0	0	0	0
ENSE00001239658	0	1	2	4	1	0
ENSE00001239653	3	3	6	8	4	3
ENSE00001239646	4	3	10	4	10	0
ENSE00001239606	3	3	10	3	12	0
ENSE00001656252	0	0	0	0	0	0
ENSE00001239625	1	2	1	5	2	0
ENSE00001239593	5	3	8	3	3	0
ENSE00001886659	0	0	0	0	0	0
ENSE00003727718	0	0	0	0	0	0
ENSE00001820825	0	0	0	0	0	0
ENSE00001945922	0	0	0	0	0	0
ENSE00001775728	111	50	246	209	248	0
ENSE00001540542	0	0	0	0	0	0
ENSE00001540546	0	0	0	0	0	0
ENSE00001310406	0	0	0	0	4	0
ENSE00001608757	0	0	0	0	0	0
ENSE00001741117	0	0	0	0	0	1
ENSE00003754915	0	0	0	3	0	0
ENSE00001627055	0	0	0	0	0	0
ENSE00001755493	0	0	0	0	0	0
ENSE00001757804	0	0	0	0	0	0
ENSE00001719035	0	0	0	0	0	0
ENSE00001867638	0	0	0	0	0	0
ENSE00003611649	0	0	0	0	0	0
ENSE00003579586	0	0	0	0	0	0
ENSE00000650236	0	0	0	0	0	0
ENSE00000650240	3	0	5	3	3	0
ENSE00003590818	0	0	0	0	0	0
ENSE00003684102	0	0	0	0	0	0
ENSE00001359591	0	0	0	0	0	0
ENSE00001888325	0	0	0	0	0	0
ENSE00000879002	0	0	0	0	0	0
ENSE00001847895	0	0	0	0	0	0
ENSE00003585399	0	0	0	0	0	0
ENSE00001909530	0	0	15	7	5	0
ENSE00001895549	0	0	0	0	0	0
ENSE00001540426	0	0	0	0	0	0
ENSE00001880162	0	0	0	0	0	0
ENSE00003511552	0	0	0	0	0	0
ENSE00001949202	0	0	0	0	0	0
ENSE00003485416	0	0	0	0	0	0
ENSE00001912556	0	0	0	0	0	0
ENSE00001830967	0	0	0	0	0	0
ENSE00003531859	0	0	0	0	0	0
ENSE00001868250	0	0	0	0	0	0
ENSE00001312950	0	0	0	0	0	0
ENSE00001739073	0	0	0	0	0	0
ENSE00001290640	0	0	0	0	0	0
ENSE00001614191	0	0	0	0	0	0
ENSE00001540382	0	0	0	0	0	0
ENSE00000650248	0	0	0	0	0	0
ENSE00000650250	0	0	0	0	0	0
ENSE00000650252	0	0	0	0	0	0
ENSE00000650260	0	0	0	0	0	0
ENSE00003508775	0	0	0	0	0	0
ENSE00000650274	0	0	0	0	0	0
ENSE00000650281	0	0	0	0	0	0
ENSE00001714750	0	0	0	0	0	0
ENSE00001540384	0	0	0	0	0	0
ENSE00003753061	0	0	0	0	0	0
ENSE00002222024	0	0	0	0	0	0
ENSE00001307273	0	0	0	0	0	0
ENSE00001540385	0	0	0	0	0	0
ENSE00001540386	0	0	0	0	0	0
ENSE00001298872	0	0	0	0	0	0
ENSE00001318792	0	0	0	0	0	0
ENSE00001307122	0	0	0	0	0	0
ENSE00003837501	0	0	0	0	0	0
ENSE00003839213	0	0	0	0	0	0
ENSE00003834209	0	0	0	0	0	0
ENSE00003838546	0	0	0	0	0	0
ENSE00003836836	0	0	0	0	0	0
ENSE00003676886	0	0	0	0	0	0
ENSE00003837229	0	0	0	0	0	0
ENSE00003839494	0	0	0	0	0	0
ENSE00003833463	0	0	0	0	0	0
ENSE00003836169	0	0	0	0	0	0
ENSE00003835475	0	0	0	0	0	0
ENSE00003839449	0	0	0	0	0	0
ENSE00002274569	0	0	0	0	0	0
ENSE00003832704	0	0	0	0	0	0
ENSE00003834845	0	0	0	0	0	0
ENSE00003835790	0	0	0	0	0	0
ENSE00003833776	0	0	0	0	0	0
ENSE00003840100	0	0	0	0	4	0
ENSE00003839951	0	0	0	0	0	0
ENSE00003837707	0	0	0	0	0	0
ENSE00003834395	0	0	0	0	0	0
ENSE00001844114	0	0	0	0	0	0
ENSE00001891359	0	1	0	0	1	0
ENSE00001895842	0	0	0	0	0	0
ENSE00001922517	0	0	0	0	0	0
ENSE00003837294	0	0	0	0	0	0
ENSE00003837767	0	0	0	0	0	0
ENSE00003833952	0	0	0	0	0	0
ENSE00003833411	0	0	0	0	0	0
ENSE00003834590	0	0	0	0	0	0
ENSE00002238209	0	0	0	0	0	0
ENSE00001540383	0	0	0	0	0	0
ENSE00001629172	0	0	0	0	0	0
ENSE00001665410	0	0	0	0	0	0
ENSE00003834327	0	0	0	0	0	0
ENSE00003833585	0	0	0	0	0	0
